X,Y,Z,Strain_Load_1,Strain_Load_2,Strain_Load_3
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.005,0.0,0.0,0.0
0.0,0.005,0.0,0.0,0.0,0.0
0.0,0.005,0.005,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.01,0.005,0.0,0.0,0.0
0.0,0.015,0.0,0.0,0.0,0.0
0.0,0.015,0.005,0.0,0.0,0.0
0.0,0.02,0.0,0.0,0.0,0.0
0.0,0.02,0.005,0.0,0.0,0.0
0.011111111111111112,0.0,0.0,0.0,0.0,0.0
0.011111111111111112,0.0,0.005,0.0,0.0,0.0
0.011111111111111112,0.005,0.0,0.0,0.0,0.0
0.011111111111111112,0.005,0.005,0.0,0.0,0.0
0.011111111111111112,0.01,0.0,0.0,0.0,0.0
0.011111111111111112,0.01,0.005,0.0,0.0,0.0
0.011111111111111112,0.015,0.0,0.0,0.0,0.0
0.011111111111111112,0.015,0.005,0.0,0.0,0.0
0.011111111111111112,0.02,0.0,0.0,0.0,0.0
0.011111111111111112,0.02,0.005,0.0,0.0,0.0
0.022222222222222223,0.0,0.0,0.0,0.0,0.0
0.022222222222222223,0.0,0.005,0.0,0.0,0.0
0.022222222222222223,0.005,0.0,0.0,0.0,0.0
0.022222222222222223,0.005,0.005,0.0,0.0,0.0
0.022222222222222223,0.01,0.0,0.0,0.0,0.0
0.022222222222222223,0.01,0.005,0.0,0.0,0.0
0.022222222222222223,0.015,0.0,0.0,0.0,0.0
0.022222222222222223,0.015,0.005,0.0,0.0,0.0
0.022222222222222223,0.02,0.0,0.0,0.0,0.0
0.022222222222222223,0.02,0.005,0.0,0.0,0.0
0.03333333333333333,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.0,0.005,0.0,0.0,0.0
0.03333333333333333,0.005,0.0,0.0,0.0,0.0
0.03333333333333333,0.005,0.005,0.0,0.0,0.0
0.03333333333333333,0.01,0.0,0.0,0.0,0.0
0.03333333333333333,0.01,0.005,0.0,0.0,0.0
0.03333333333333333,0.015,0.0,0.0,0.0,0.0
0.03333333333333333,0.015,0.005,0.0,0.0,0.0
0.03333333333333333,0.02,0.0,0.0,0.0,0.0
0.03333333333333333,0.02,0.005,0.0,0.0,0.0
0.044444444444444446,0.0,0.0,0.0,0.0,0.0
0.044444444444444446,0.0,0.005,0.0,0.0,0.0
0.044444444444444446,0.005,0.0,0.0,0.0,0.0
0.044444444444444446,0.005,0.005,0.0,0.0,0.0
0.044444444444444446,0.01,0.0,0.0,0.0,0.0
0.044444444444444446,0.01,0.005,0.0,0.0,0.0
0.044444444444444446,0.015,0.0,0.0,0.0,0.0
0.044444444444444446,0.015,0.005,0.0,0.0,0.0
0.044444444444444446,0.02,0.0,0.0,0.0,0.0
0.044444444444444446,0.02,0.005,0.0,0.0,0.0
0.05555555555555556,0.0,0.0,0.0,0.0,0.0
0.05555555555555556,0.0,0.005,0.0,0.0,0.0
0.05555555555555556,0.005,0.0,0.0,0.0,0.0
0.05555555555555556,0.005,0.005,0.0,0.0,0.0
0.05555555555555556,0.01,0.0,0.0,0.0,0.0
0.05555555555555556,0.01,0.005,0.0,0.0,0.0
0.05555555555555556,0.015,0.0,0.0,0.0,0.0
0.05555555555555556,0.015,0.005,0.0,0.0,0.0
0.05555555555555556,0.02,0.0,0.0,0.0,0.0
0.05555555555555556,0.02,0.005,0.0,0.0,0.0
0.06666666666666667,0.0,0.0,0.0,0.0,0.0
0.06666666666666667,0.0,0.005,0.0,0.0,0.0
0.06666666666666667,0.005,0.0,0.0,0.0,0.0
0.06666666666666667,0.005,0.005,0.0,0.0,0.0
0.06666666666666667,0.01,0.0,0.0,0.0,0.0
0.06666666666666667,0.01,0.005,0.0,0.0,0.0
0.06666666666666667,0.015,0.0,0.0,0.0,0.0
0.06666666666666667,0.015,0.005,0.0,0.0,0.0
0.06666666666666667,0.02,0.0,0.0,0.0,0.0
0.06666666666666667,0.02,0.005,0.0,0.0,0.0
0.07777777777777778,0.0,0.0,0.0,0.0,0.0
0.07777777777777778,0.0,0.005,0.0,0.0,0.0
0.07777777777777778,0.005,0.0,0.0,0.0,0.0
0.07777777777777778,0.005,0.005,0.0,0.0,0.0
0.07777777777777778,0.01,0.0,0.0,0.0,0.0
0.07777777777777778,0.01,0.005,0.0,0.0,0.0
0.07777777777777778,0.015,0.0,0.0,0.0,0.0
0.07777777777777778,0.015,0.005,0.0,0.0,0.0
0.07777777777777778,0.02,0.0,0.0,0.0,0.0
0.07777777777777778,0.02,0.005,0.0,0.0,0.0
0.08888888888888889,0.0,0.0,0.0,0.0,0.0
0.08888888888888889,0.0,0.005,0.0,0.0,0.0
0.08888888888888889,0.005,0.0,0.0,0.0,0.0
0.08888888888888889,0.005,0.005,0.0,0.0,0.0
0.08888888888888889,0.01,0.0,0.0,0.0,0.0
0.08888888888888889,0.01,0.005,0.0,0.0,0.0
0.08888888888888889,0.015,0.0,0.0,0.0,0.0
0.08888888888888889,0.015,0.005,0.0,0.0,0.0
0.08888888888888889,0.02,0.0,0.0,0.0,0.0
0.08888888888888889,0.02,0.005,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.005,0.0,0.0,0.0
0.1,0.005,0.0,0.0,0.0,0.0
0.1,0.005,0.005,0.0,0.0,0.0
0.1,0.01,0.0,0.0,0.0,0.0
0.1,0.01,0.005,0.0,0.0,0.0
0.1,0.015,0.0,0.0,0.0,0.0
0.1,0.015,0.005,0.0,0.0,0.0
0.1,0.02,0.0,0.0,0.0,0.0
0.1,0.02,0.005,0.0,0.0,0.0
